"Fiscal Year","Revenue ($ millions)","Act 46 impact ($m)","Act 58 impact ($m)","Key notes"
"FY 2010","1,528","—","—","Pre-recession baseline"
"FY 2011","1,247","—","—","Delayed $186.1M prior-year refunds depressed collections"
"FY 2012","1,541","—","—","Includes $186.1M delayed refunds from FY 2010"
"FY 2013","1,736","—","—","Recovery continues"
"FY 2014","1,746","—","—","Minimal growth"
"FY 2015","1,988","—","—","Strong growth year"
"FY 2016","2,117","—","—","High-income bracket sunset (Act 60 expired)"
"FY 2017","2,096","—","—","Slight decline; methodology update noted"
"FY 2018","2,430","—","—","Strong growth"
"FY 2019","2,569","—","—","Pre-COVID growth"
"FY 2020","2,360","—","—","COVID impact + filing deadline shift to FY 2021"
"FY 2021","3,355","—","—","Includes ~$281.6M shifted from FY 2020"
"FY 2022","3,760","—","—","Peak collections"
"FY 2023","3,100","—","—","Includes one-time $311.7M constitutional refund"
"FY 2024","3,280","—","—","Actual revenue"
"FY 2025","3,288","-240.3","—","Actual FY total; Act 46 begins via withholding/standard deduction changes"
"FY 2026","2,721 (calc: 3,288.093 − 596.6 + 29.3)","-596.6","+29.3","Post-policy projection; Act 46 bracket/standard-deduction changes and Act 58 add-back"
"FY 2027","2,907 (calc: 3,616.249 − 740.1 + 30.8)","-740.1","+30.8","Post-policy projection; Act 46 continues and Act 58 add-back"
